quantized_input32_4threads,non_quantized_4threads,quantized_input32_1thread,non_quantized_1thread
310,372,535,836
326,372,532,836
332,368,534,834
358,449,531,838
322,378,533,838
318,386,533,832
302,377,532,833
333,364,534,838
331,411,533,834
321,420,532,838
345,415,532,831
317,379,529,836
326,389,533,838
329,382,533,840
307,385,534,833
319,381,534,834
324,460,534,834
315,385,534,837
313,375,534,836
336,391,529,833
308,381,532,835
338,434,533,835
317,467,530,835
318,398,532,837
325,367,534,837
337,437,531,836
352,517,586,900
326,457,534,839
315,508,529,837
334,414,530,839
307,466,529,838
315,493,532,838
313,439,533,834
325,448,533,836
315,374,530,838
312,398,531,838
309,379,529,833
312,436,533,834
307,427,528,836
314,369,532,838
302,409,529,834
318,404,532,835
314,371,531,838
330,427,531,837
319,442,533,836
338,434,531,835
311,368,532,838
317,472,530,838
321,469,531,836
320,409,530,837
315,380,535,838
331,378,533,837
288,458,532,836
310,420,530,837
286,411,542,838
302,387,532,837
380,494,588,911
330,392,534,838
321,411,531,833
313,394,533,832
313,436,531,834
320,400,533,834
314,434,532,834
297,435,534,829
315,415,531,834
315,377,530,836
305,422,530,834
327,380,533,830
328,391,530,830
325,391,535,835
307,367,528,834
313,376,531,834
322,367,530,829
336,391,530,831
321,389,530,833
311,369,533,834
310,473,526,828
320,454,533,832
319,413,526,834
326,401,533,829
342,409,533,831
319,369,534,831
325,460,530,831
335,454,533,834
305,440,535,833
331,402,549,833
419,476,588,893
332,414,532,840
292,376,530,839
298,365,530,839
328,452,529,837
289,393,532,838
293,385,531,837
303,367,532,838
312,388,532,837
294,380,531,832
309,387,532,839
326,439,532,836
309,395,528,839
322,390,531,832
294,387,529,836
298,393,531,838
298,388,530,839
293,364,531,837
319,368,557,835
304,394,538,838
306,373,531,837
315,379,531,836
303,405,529,836
297,379,531,837
310,396,528,836
317,446,531,838
306,402,530,834
326,450,530,838
312,397,528,838
304,378,532,839
