quantized_input32_4threads,non_quantized_4threads,quantized_input32_1thread,non_quantized_1thread
236,314,423,683
206,296,422,681
205,290,421,683
219,356,423,681
220,289,421,683
258,337,423,683
215,335,448,746
232,328,425,692
223,305,420,684
238,327,419,684
215,329,421,685
217,318,421,684
232,305,421,683
243,341,422,685
291,331,421,685
250,340,421,685
263,277,421,682
266,287,420,683
227,285,421,684
201,322,420,687
237,325,422,683
212,351,422,685
219,321,419,686
209,291,421,684
220,266,421,683
242,313,422,685
239,306,421,683
258,313,420,690
231,290,419,682
202,334,421,684
220,299,420,684
202,299,420,689
231,356,421,684
221,275,420,683
199,303,419,686
223,362,421,683
280,539,500,731
233,273,424,689
220,269,422,682
198,271,421,683
245,265,425,682
218,278,421,684
199,268,421,683
235,274,422,682
199,268,423,681
221,281,421,685
230,264,423,684
250,264,422,682
231,265,420,682
204,265,422,691
210,270,421,682
198,274,421,681
218,266,421,682
230,270,421,684
226,263,421,682
238,269,420,681
255,269,422,681
273,270,420,684
232,266,421,682
219,264,422,681
252,275,422,682
264,275,422,687
254,265,422,681
220,264,421,681
233,275,421,685
201,263,423,681
238,385,448,731
225,300,430,687
238,286,422,676
244,364,422,680
212,281,422,679
200,295,423,677
209,356,422,677
201,302,422,678
246,296,422,678
251,323,425,678
235,289,423,679
225,307,423,680
208,310,423,678
200,375,422,679
234,332,422,683
243,295,422,683
229,271,423,683
224,287,423,683
222,338,423,685
234,292,422,682
216,371,426,681
202,315,424,684
199,333,423,685
209,303,424,685
222,303,423,683
232,336,421,686
222,363,423,682
217,315,422,685
201,304,422,682
231,329,422,686
