device,stage,battery_level
samsung_SM_A305G,PREP_START,0.45
Xiaomi_Redmi_Note_7,PREP_START,0.23
samsung_SM_A305G,PREP_END,0.45
Xiaomi_Redmi_Note_7,PREP_END,0.23
samsung_SM_A305G,PROCESSING_START,0.45
Xiaomi_Redmi_Note_7,PROCESSING_START,0.23
samsung_SM_A305G,PROCESSING_END,0.44
Xiaomi_Redmi_Note_7,PROCESSING_END,0.22
